,user,star,time,comments
0,犀牛,5,2005-10-28,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
1,小易甫,3,2008-06-08,"在我的心目中,它一直都是最被高估的电影。"
2,kingfish,5,2006-03-22,不需要女主角的好电影
3,如小果,5,2008-02-27,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
4,Eve|Classified,5,2008-05-09,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。"
5,711|湯行運,5,2010-03-27,策划了19年的私奔……
6,艾小柯,5,2006-06-20,关于希望最强有力的注释。
7,赫克托尔,5,2007-06-06,有种鸟是关不住的.
8,寂地,5,2006-01-02,"超级喜欢超级喜欢,不看的话人生不圆满."
9,Ocap,3,2015-06-30,几年后，五星改成三星。
10,影志,5,2006-02-04,"Fear Can Hold You Prisoner, Hope Can Set You Free"
11,葱,5,2012-05-28,这样的男人谁会舍得背叛。。。
12,veronique,5,2006-06-15,"一部没有爱情与美女的电影,却光芒四射"
13,珍妮的肖像🦄,5,2006-11-13,没有人会不喜欢吧！书和电影都好。
14,文泽尔,4,2008-01-14,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope
15,私享史,5,2005-10-08,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！
16,朝暮雪,5,2012-08-07,"“你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。”
一部经得起时间检验的电影，豆瓣、时光网、IMDb各大电影网站都排名第一的电影。"
17,挽梦忆笙歌,5,2018-01-13,一部没有女主，没有爱情，没有特技的好片子，也是很多大学英语老师喜欢放给学生看的片子，这部片子讲诉的就是一个很纯粹的故事，一次的救赎，换回了自由，也是一种信念驱使他这么做，这部片子是感人的，它也让很多人成长。
18,理想多钱一斤啊,4,2009-10-07,"Hope is a good thing, and maybe the best thing of all."
19,如是,5,2018-03-14,还记得老brooks上吊自杀时心里有多难过。自由来的太晚，生命早已自行放弃。
20,快乐人生,4,2018-01-04,不愧是好莱坞大片，一环扣一环，没想到最后不但逃生生天还偷偷把典狱长的贪污转移了出来，证据也送达了出去，帮助了曾经关心过自己的人，情节安排的巧妙，演员演绎的也好，是美国的，有爱国情节的我给打四分
21,小海,5,2010-01-28,这部电影没什么好说的，史上最完美的电影，没有一秒尿尿时间！
22,眠去,5,2007-02-20,hope is a good thing
23,小耳朵图吗,5,2007-08-21,越狱我感觉就是改编自这个
24,九尾黑猫,2,2008-03-19,真的不喜欢，不好看，没感觉
25,南笙,5,2012-01-06,对不起，我戒酒了。
26,美好生活,5,2016-11-14,肖申克中生存体制又如当今社会体制，“痛改前非”的人一次次被重新投入黑暗之中，当权者干着肮脏的勾当却会在公众面前宣讲“拯救之道”，似乎只有当性格没有棱角，思想失去火花，被“体制化”的人们习惯逆来顺受的时候才可以平安生存
27,苏多多,5,2018-01-20,这是我每年都要回顾的一部片子，每当心情低落，人生低谷的时候，或者随便什时候打开，听着摩根弗里曼低沉的声音娓娓道来故事，就会感觉好了很多。好的电影是好的人生陪伴
28,乐安蓝,5,2008-03-02,明修栈道，暗渡陈仓
29,雨果,5,2016-12-23,好片，但是远比这部片更好的还很多，大家整天把这部电影稀奇得不行，其实同年的电影我更喜欢阿甘。
30,毛利,5,2006-11-21,看完让人很振奋
31,赫恩曼尼,5,2012-06-29,若你试自由如生命，你愿意用20年等来一日的逃脱。
32,遇见彩虹🌈,5,2017-10-25,何为救赎？只有重燃人们心中的希望才能救赎。有希望才有一切可能。即使环境再恶劣，安迪都没有放弃，坚持不懈的写信为大家换来更好的图书馆，帮助有需要的人拿到高中文凭使他们可以在社会上有生存能力，就算知道会惹怒看守也想让人们都听到美妙的歌声，点燃希望之光。有一种鸟儿是永远也关不住的。
33,七沐妹妹,5,2018-01-24,怒赞，很难有一部电影能比《肖申克的救赎》更好的诠释梦想与救赎这两个词的关联，电影予人带来心理的洗涤震撼是如此深刻，对比安迪，我们生活中看似无以能迈不过的坎又算什么？当你若能一直心拥梦想，哪怕失败，也定能获得希望的救赎。
34,徐小花,5,2006-08-16,酣畅淋漓
35,叶荣添,2,2011-02-21,大众经典我从不感冒，为什么？我欣赏水平不行？
36,yocofcjx28,5,2016-11-12,太感人的电影！完整看过四遍！安迪从下水道爬出后，在水里在雨中仰天长啸时，就瞬间泪奔！
37,壳子,5,2017-01-03,发现自己最近真的是愿意回看经典 尤其是没有女主的经典 自由与希望 多么美好的词汇 可是一个迂腐的人现在才体会到 这两个词如果一年前对我提起 那么我会表示鄙夷 会觉得这两个词太虚无缥缈 假大空 而现在 如果你向我提起 那么我会说 我爱自由和希望
38,橘猫爱吃鱼,5,2018-01-12,这是一部关于自由、友情、正义的电影!“信念不灭，希望永存”。这其实是他们全体人的救赎，只是选择的方式不同而已。
39,喜拿卷卷,5,2009-09-11,高中第一节心理课。“有一种鸟是关不住的，因为它们的每一片羽毛都闪耀着自由的光辉”，但后来不幸成了我的逆反宣言……哈哈哈。
40,老鸡｜扶立,5,2008-01-10,我最喜欢的电影
41,波波维奇,5,2018-01-20,非常好，可惜那年有阿甘正传，但我个人认为还是这部最佳。
42,已注销,5,2018-01-24,几年前看的，看完之后挺久了才回神，第一次因为看了一部电影反思自己。是我心中电影的第一名～
43,毛驴哥🔒🔒🔒🔒,5,2005-12-26,不多说了
44,蝶雨成宣,5,2016-10-31,这部被称为《刺激1995》的影片在中国影迷间也有极好的口碑，可见电影超越国界的神奇之处。
45,程晴之,5,2018-01-16,很久之前看的了，印象深刻的是一位老人在出狱后不知道如何生活了，外面的一切都是他所不熟悉的，无法正常的工作，交流，生活。最终选择结束了自己的生命。习惯真的是一种极其强大的可怕的力量！
46,艾晨,5,2017-08-09,2008年11月28日，第一次看肖申克。那时候观影量还不到五百吧。给五星是见识浅。现在差不多九年过去，我在豆瓣标注看过的已经超过三千，第二次看，还是给了五星。它当然不是最好的片，但是太滴水不漏了。
47,婷婷爱八卦,5,2017-12-20,几年前被母亲推荐看的，她很推崇，看过后感觉可以，黑暗是每个国家都存在的，总的来说希望好人一生平安！
48,尽欢,5,2017-12-26,习惯了监狱生活而接受不了正常生活的人，既真实又恐怖。勇敢面对生活，逃离自己的舒适区。
49,欢乐分裂,5,2016-05-14,#重看#@影城；超越年代的“主流心灵鸡汤”依然灌得眼泪直冒；世上本无希望，若我多行一步即是希望，在绝望黑暗处生出倔强微光，卡夫卡式的悖论；每人都背负着有形无形的肖申克，注定无法被囚禁的鸟儿一定会挣脱桎梏，天才善于做梦；类型片元素大集成，充满匠气的完美作品。
50,我不绝望,2,2006-10-05,有那么好吗？？？？？
51,Doublebitch,4,2007-12-24,绝对是期待过高导致有点失望
52,孔雀鱼,5,2016-11-30,这部片子播后，入狱的场景衍生一系列的同人文，教皇般的典狱长，东西两派，同性狎轧成了美国监狱片少不了的场景。当然被人津津乐道的一个场面是，男主角逃脱出狱后迎着风雨呐喊自由的场景。
53,慕詩,5,2016-12-27,自我救赎才是唯一的出口。感叹于知识改变命运啊。
54,哒哒哒,5,2016-09-07,坚持就是胜利啊 最终在墙上弄了个洞
55,美神经,5,2017-05-03,上个学期全班同学一起看的心理电影，下课了依旧不舍的坐在位置上，盯着那屏幕，看到最后，嗯，他活着出来了。信念，满满的充斥着内心，如果是我，可能早就死在那四面铜墙里了，哪还有后来呢。人生，可能就是这样，总是希望伴着绝望，那要看你是想救赎自己还是了结罢了
56,顾俏乜,4,2017-05-03,通过下水道逃出去，这真的是太震撼了，不得不说男主对自由的执念克服了一切，即使待在监狱里，因为不断学习，没和外面的世界脱轨，他才能如此从容面对一切，甚至即使是在监狱这小小世界里自己也是主宰，所以说：学习很重要，学到老活到老。
57,考拉小巫,5,2012-07-09,最最最最最好看的电影。没有之一。
58,小岩井,5,2015-12-13,任何时候，都不要放弃希望。
59,铃儿响叮当,3,2017-01-05,好看但这么高的分有点假了吧，如果和越狱比起来，还是越狱好看些！
60,命中注定的爱,5,2018-03-06,电影很励志，感悟很深，最主要的是让我学会坚持，送给在生活中遇到挫折的人！
61,世界尽头,5,2017-06-08,人性伟大，会软弱，但更多的是坚韧
62,雨滋味,4,2018-01-31,救赎什么？灵魂？自由？信念？你看看这部电影就有体会了
63,酒鬼一家小迷妹,5,2018-03-01,经典，很久以前看的了。人活着就得有希望。
64,百骨金titi,4,2018-01-12,真的很金典，每个人心里都有渴望不一样的自由，却又不得不被现实生活所束缚，很矛盾的个体，希望每个人能像安迪一样找到获得真正的自由。很喜欢摩根弗里曼
65,思无邪,5,2018-01-13,任何时候都要坚持，坚持就会成功的，但现实能一直坚持的人是少的。值得一看
66,朱岳,5,2021-11-27,二十岁以为自己是在外边看，四十岁才明白自己是在里边看。
67,死鬼,5,2018-02-09,要么忙着活 要么忙着死 人应该对现有生活保持乐观的心态 充满希望 学会享受 而不是得过且过 苟且偷生 这种人生还有什么意义呢？还不如趁早去死 活着也是浪费资源
68,花落  思量错,5,2017-02-07,“人活着得有希望”，一点都没有错，当老布自杀的时候我在想他应该回到监狱里度过剩余的日子，可是当安迪终于出去的时候又是那么美好，人啊真的得有希望才能快乐勇敢的活下去。当我失意的时候就想起这个片子，想起他那么努力想尽办法的脱身，觉得我一定也可以冲出重围重新站起来，真的太励志了。
69,秋瞑,5,2018-02-03,好的电影值得所有人反复观看，这就是一部。
70,momo,4,2021-02-02,其实理解不了为什么这部影片会排名第一…
71,喻鸣,5,2013-11-08,"对推上神坛的电影总是莫名恐惧，以致雪藏了多年才看。看完发现它之所以雄踞各类榜首，是因其他至多称作经典，而它却可称作伟大。Fear Can Hold You Prisoner, Hope Can Set You Free .Hope is a good thing."
72,蓝婷飞絮,5,2016-12-30,看完之后，只觉得烧脑。看第二次，我只觉得男主人太厉害了。
73,juvenile,5,2018-01-16,救赎每次看都有一种新的感觉，没有什么能够形容我对他的崇拜，人生若是真的能自由自在的在日落的时候喝着沁人的冰啤，那该是多么美好啊。
